System,Orbit number,T_mid,Uncertainty (days),Time System,#,Reference
HAT-P-23,-1540.0,2454632.73289,0.00073,BJD_TDB,1,2018AcA....68..371M; 2011ApJ...742..116B
HAT-P-23,-1469.0,2454718.84863,0.00048,BJD_TDB,1,2018AcA....68..371M; 2011ApJ...742..116B
HAT-P-23,-1465.0,2454723.69918,0.00039,BJD_TDB,1,2018AcA....68..371M; 2011ApJ...742..116B
HAT-P-23,-1423.0,2454774.6412,0.00056,BJD_TDB,1,2018AcA....68..371M; 2011ApJ...742..116B
HAT-P-23,-1285.0,2454942.01919,0.00088,BJD_TDB,1,2018AcA....68..371M; 2011ApJ...742..116B
HAT-P-23,-1215.0,2455026.92065,0.00044,BJD_TDB,1,2018AcA....68..371M; 2011ApJ...742..116B
HAT-P-23,-647.0,2455715.84171,0.00101,BJD_TDB,1,2018AcA....68..371M; 2013RMxAA..49...71R
HAT-P-23,-596.0,2455777.6976,0.0014,BJD_TDB,1,2018AcA....68..371M; 2013RMxAA..49...71R
HAT-P-23,-586.0,2455789.826,0.0011,BJD_TDB,1,2018AcA....68..371M; 2013RMxAA..49...71R
HAT-P-23,-583.0,2455793.4651,0.0012,BJD_TDB,1,2018AcA....68..371M; 2015A&A...577A..54C
HAT-P-23,-582.0,2455794.6779,0.0012,BJD_TDB,1,2018AcA....68..371M; 2013RMxAA..49...71R
HAT-P-23,-305.0,2456130.64792,0.00051,BJD_TDB,1,2018AcA....68..371M; 2015A&A...577A..54C
HAT-P-23,-301.0,2456135.49891,0.00023,BJD_TDB,1,2018AcA....68..371M; 2015A&A...577A..54C
HAT-P-23,-267.0,2456176.73833,0.00102,BJD_TDB,1,2018AcA....68..371M; 2016PASP..128b4402S
HAT-P-23,-253.0,2456193.716,0.0011,BJD_TDB,1,2018AcA....68..371M; 2016PASP..128b4402S
HAT-P-23,-244.0,2456204.6345,0.0011,BJD_TDB,1,2018AcA....68..371M; 2016PASP..128b4402S
HAT-P-23,-239.0,2456210.7004,0.0015,BJD_TDB,1,2018AcA....68..371M; 2016PASP..128b4402S
HAT-P-23,-33.0,2456460.55214,0.0004,BJD_TDB,1,2018AcA....68..371M; 2015A&A...577A..54C
HAT-P-23,-19.0,2456477.53307,0.00027,BJD_TDB,1,2018AcA....68..371M; 2015A&A...577A..54C
HAT-P-23,0.0,2456500.57644,0.0009,BJD_TDB,1,2018AcA....68..371M; 2015A&A...577A..54C
HAT-P-23,4.0,2456505.42925,0.00044,BJD_TDB,1,2018AcA....68..371M; 2015A&A...577A..54C
HAT-P-23,10.0,2456512.70704,0.00103,BJD_TDB,1,2018AcA....68..371M; 2016PASP..128b4402S
HAT-P-23,32.0,2456539.39051,0.00026,BJD_TDB,1,2018AcA....68..371M; 2015A&A...577A..54C
HAT-P-23,325.0,2456894.7664,0.001,BJD_TDB,1,2018AcA....68..371M; 2016PASP..128b4402S
HAT-P-23,339.0,2456911.7469,0.0013,BJD_TDB,1,2018AcA....68..371M; 2016PASP..128b4402S
HAT-P-23,351.0,2456926.300832,0.000181,BJD_TDB,1,2022MNRAS.512.2062B
HAT-P-23,629.0,2457263.48352,0.000259,BJD_TDB,1,2022MNRAS.512.2062B
HAT-P-23,883.0,2457571.55693,0.00026,BJD_TDB,1,2018AcA....68..371M
HAT-P-23,925.0,2457622.49765,0.00034,BJD_TDB,1,2018AcA....68..371M
HAT-P-23,929.0,2457627.34962,0.00034,BJD_TDB,1,2018AcA....68..371M
HAT-P-23,934.0,2457633.41373,0.00017,BJD_TDB,1,2018AcA....68..371M
HAT-P-23,939.0,2457639.47823,0.00029,BJD_TDB,1,2018AcA....68..371M
HAT-P-23,940.0,2457640.69114,0.00046,BJD_TDB,1,2020AJ....159..150P
HAT-P-23,954.0,2457657.67134,0.00062,BJD_TDB,1,2020AJ....159..150P
HAT-P-23,959.0,2457663.7366,0.00044,BJD_TDB,1,2020AJ....159..150P
HAT-P-23,1202.0,2457958.46753,0.00021,BJD_TDB,1,2018AcA....68..371M
HAT-P-23,1207.0,2457964.53178,0.00021,BJD_TDB,1,2018AcA....68..371M
HAT-P-23,1221.0,2457981.51225,0.00024,BJD_TDB,1,2018AcA....68..371M
HAT-P-23,1263.0,2458032.45353,0.00076,BJD_TDB,1,2021NewA...8301477S
