System,Time(BJD_TDB),RV(m/s),σ(m/s),Citation
HAT-P-23,2454638.10676,-137.9,4.49,2011ApJ...742..116B
HAT-P-23,2454674.91479,374.64,5.15,2011ApJ...742..116B
HAT-P-23,2454723.78794,-209.16,5.55,2011ApJ...742..116B
HAT-P-23,2454725.85384,329.57,6.18,2011ApJ...742..116B
HAT-P-23,2454726.88051,277.98,4.2,2011ApJ...742..116B
HAT-P-23,2454727.76322,-210.01,4.81,2011ApJ...742..116B
HAT-P-23,2454727.89694,-19.91,4.77,2011ApJ...742..116B
HAT-P-23,2454777.82264,214.73,4.54,2011ApJ...742..116B
HAT-P-23,2454810.73035,290.22,5.63,2011ApJ...742..116B
HAT-P-23,2454955.04753,388.82,4.74,2011ApJ...742..116B
HAT-P-23,2454985.99571,-369.93,4.42,2011ApJ...742..116B
HAT-P-23,2455192.70889,348.01,4.4,2011ApJ...742..116B
HAT-P-23,2455193.71157,83.68,4.57,2011ApJ...742..116B
HAT-P-23,2455434.33939,249.4,24.5,2011A&A...533A.113M
HAT-P-23,2455434.34985,238.3,25.6,2011A&A...533A.113M
HAT-P-23,2455434.36086,222.9,24.5,2011A&A...533A.113M
HAT-P-23,2455434.37173,215.1,24.9,2011A&A...533A.113M
HAT-P-23,2455434.38259,191.2,25.2,2011A&A...533A.113M
HAT-P-23,2455434.39384,147.7,26.2,2011A&A...533A.113M
HAT-P-23,2455434.4053,90.8,26.1,2011A&A...533A.113M
HAT-P-23,2455434.41654,155.9,25.6,2011A&A...533A.113M
HAT-P-23,2455434.42723,112.7,25.3,2011A&A...533A.113M
HAT-P-23,2455434.43754,121.8,25.4,2011A&A...533A.113M
HAT-P-23,2455434.44853,67.1,25.8,2011A&A...533A.113M
HAT-P-23,2455434.45987,-6.4,26.1,2011A&A...533A.113M
HAT-P-23,2455434.47325,-101.9,27.1,2011A&A...533A.113M
HAT-P-23,2455434.48495,-133.7,25.5,2011A&A...533A.113M
HAT-P-23,2455434.49677,-111.1,25.5,2011A&A...533A.113M
HAT-P-23,2455434.50996,-91.7,26.2,2011A&A...533A.113M
HAT-P-23,2455434.52431,-174.2,27.4,2011A&A...533A.113M
HAT-P-23,2455434.53882,-126.7,26.9,2011A&A...533A.113M
HAT-P-23,2455434.55259,-208.7,25.9,2011A&A...533A.113M
HAT-P-23,2455434.56524,-235.5,27.2,2011A&A...533A.113M
HAT-P-23,2455434.57737,-177.6,24.5,2011A&A...533A.113M
HAT-P-23,2455434.5892,-217.2,29.0,2011A&A...533A.113M
HAT-P-23,2455434.60295,-227.6,35.7,2011A&A...533A.113M
