BJD_TDB,NormFlux,NormFluxError
2459790.77926,1.0008,0.0012
2459790.77993,1.0009,0.0012
2459790.78059,0.9998,0.0012
2459790.78125,0.9982,0.0012
2459790.78191,1.004,0.0014
2459790.78258,0.9994,0.0012
2459790.78324,1.0014,0.0012
2459790.7839,0.9987,0.0012
2459790.78456,1.0032,0.0012
2459790.78522,1.001,0.0012
2459790.78588,1.0021,0.0012
2459790.78654,1.0,0.0012
2459790.7872,0.9999,0.0012
2459790.78786,0.9979,0.0012
2459790.78852,0.9994,0.0012
2459790.78918,0.9992,0.0012
2459790.78984,0.9985,0.0012
2459790.7905,1.0026,0.0012
2459790.79115,1.0015,0.0012
2459790.79181,1.0004,0.0012
2459790.79248,1.0004,0.0012
2459790.79313,0.9993,0.0012
2459790.79379,1.0022,0.0012
2459790.79446,1.0009,0.0012
2459790.79512,1.0001,0.0017
2459790.79578,1.0017,0.0013
2459790.79644,0.9997,0.0013
2459790.7971,1.0034,0.0013
2459790.79776,1.0011,0.0012
2459790.79842,0.9963,0.0017
2459790.79908,1.0033,0.0012
2459790.79974,0.9952,0.0015
2459790.8004,0.9971,0.0012
2459790.80106,1.0029,0.0012
2459790.80172,1.0015,0.0012
2459790.80238,1.0002,0.0014
2459790.80304,1.0007,0.0012
2459790.8037,0.9995,0.0012
2459790.80435,1.003,0.0012
2459790.80502,0.9996,0.0012
2459790.80568,1.0001,0.0016
2459790.80634,0.9995,0.0013
2459790.807,0.9995,0.0012
2459790.80765,0.9973,0.0012
2459790.80831,0.9945,0.0012
2459790.80897,0.9905,0.0014
2459790.80963,0.9936,0.0012
2459790.81029,0.9915,0.0012
2459790.81095,0.9937,0.0012
2459790.81161,0.9923,0.0012
2459790.81227,0.9893,0.0012
2459790.81293,0.9924,0.0012
2459790.81359,0.9881,0.0012
2459790.81425,0.9904,0.0012
2459790.81491,0.9887,0.0012
2459790.81557,0.9895,0.0012
2459790.81623,0.99,0.0012
2459790.81689,0.9879,0.0012
2459790.81755,0.9877,0.0012
2459790.81821,0.9884,0.0012
2459790.81887,0.9877,0.0012
2459790.81953,0.9895,0.0012
2459790.82019,0.9859,0.0012
2459790.82085,0.9873,0.0012
2459790.82151,0.9892,0.0012
2459790.82217,0.9865,0.0012
2459790.82283,0.9916,0.0012
2459790.8235,0.9857,0.0012
2459790.82416,0.9882,0.0012
2459790.82482,0.9872,0.0012
2459790.82548,0.9899,0.0012
2459790.82615,0.9917,0.0012
2459790.82681,0.9839,0.0012
2459790.82746,0.9909,0.0012
2459790.82812,0.9881,0.0012
2459790.82879,0.9879,0.0012
2459790.82945,0.9868,0.0012
2459790.8301,0.9894,0.0012
2459790.83076,0.9881,0.0014
2459790.83142,0.985,0.0012
2459790.83208,0.9854,0.0012
2459790.83275,0.9847,0.0012
2459790.83341,0.9866,0.0012
2459790.83407,0.9848,0.0012
2459790.83473,0.9874,0.0012
2459790.8354,0.9877,0.0012
2459790.83606,0.986,0.0012
2459790.83672,0.9881,0.0012
2459790.83739,0.9872,0.0012
2459790.83805,0.9874,0.0012
2459790.83872,0.9837,0.0012
2459790.83939,0.9883,0.0012
2459790.84006,0.9884,0.0012
2459790.84072,0.9868,0.0012
2459790.84138,0.9852,0.0012
2459790.84205,0.9902,0.0012
2459790.84271,0.987,0.0012
2459790.84337,0.985,0.0012
2459790.84404,0.9852,0.0012
2459790.8447,0.9902,0.0013
2459790.84536,0.983,0.0012
2459790.84603,0.9878,0.0012
2459790.8467,0.9865,0.0016
2459790.85136,0.9881,0.0017
2459790.85268,0.9848,0.0024
2459790.85335,0.989,0.0016
2459790.85468,0.9862,0.0012
2459790.85535,0.988,0.0012
2459790.85601,0.9888,0.0012
2459790.85668,0.9818,0.0014
2459790.86001,0.9837,0.0013
2459790.86068,0.989,0.0015
2459790.86267,0.987,0.0014
2459790.86334,0.9834,0.0014
2459790.86401,0.9848,0.0017
2459790.86601,0.9855,0.0016
2459790.86667,0.9859,0.0018
2459790.86733,0.9881,0.0014
2459790.868,0.9908,0.0012
2459790.86867,0.9868,0.0012
2459790.86933,0.988,0.0012
2459790.87,0.9851,0.0012
2459790.87066,0.986,0.0012
2459790.87132,0.987,0.0012
2459790.87199,0.9874,0.0012
2459790.87265,0.9857,0.0012
2459790.87332,0.9895,0.0012
2459790.87398,0.9871,0.0012
2459790.87465,0.9871,0.0012
2459790.87532,0.9904,0.0012
2459790.87598,0.989,0.0012
2459790.87665,0.9874,0.0012
2459790.87731,0.9848,0.0012
2459790.87798,0.9899,0.0012
2459790.87865,0.9883,0.0013
2459790.87931,0.9861,0.0013
2459790.87998,0.9856,0.0012
2459790.88065,0.9877,0.0012
2459790.88131,0.9893,0.0012
2459790.88397,0.9896,0.0012
2459790.88464,0.9861,0.0012
2459790.88531,0.989,0.0012
2459790.88598,0.9899,0.0012
2459790.88664,0.9888,0.0012
2459790.88731,0.9891,0.0012
2459790.88797,0.9888,0.0012
2459790.88864,0.9889,0.0012
2459790.8893,0.9903,0.0012
2459790.88997,0.9905,0.0012
2459790.89064,0.9854,0.0012
2459790.8913,0.9856,0.0012
2459790.89197,0.9887,0.0012
2459790.89263,0.9897,0.0012
2459790.8933,0.9909,0.0012
2459790.89396,0.991,0.0012
2459790.89463,0.991,0.0012
2459790.8953,0.9942,0.0012
2459790.89597,0.9918,0.0012
2459790.89663,0.9907,0.0012
2459790.89729,0.9969,0.0012
2459790.89796,0.9906,0.0013
2459790.89862,0.993,0.0012
2459790.89929,0.9927,0.0012
2459790.89995,0.9965,0.0012
2459790.90062,0.9965,0.0012
2459790.90128,1.0016,0.0014
2459790.90194,0.9953,0.0015
2459790.9026,1.0012,0.0013
2459790.90327,0.9985,0.0013
2459790.90394,0.9998,0.0012
2459790.9086,1.003,0.0024
2459790.90926,1.0014,0.0019
2459790.90993,1.0025,0.0017
2459790.9106,0.9993,0.0012
2459790.91127,0.9978,0.0012
2459790.91193,1.0035,0.0012
2459790.9126,0.9986,0.0012
2459790.91326,0.997,0.0012
2459790.91392,1.0023,0.0012
2459790.91459,0.998,0.0012
2459790.91525,1.0003,0.0012
2459790.91592,1.0014,0.0012
2459790.91659,1.0,0.0012
2459790.91726,1.0016,0.0012
2459790.91792,1.0004,0.0012
2459790.91859,0.9965,0.0012
2459790.91925,0.9978,0.0012
2459790.91992,1.0008,0.0012
2459790.92058,0.9985,0.0012
2459790.92125,1.001,0.0012
2459790.92192,0.9993,0.0012
2459790.92258,0.9991,0.0012
2459790.92325,1.0042,0.0012
2459790.92392,0.9959,0.0012
2459790.92458,0.9979,0.0012
2459790.92524,0.9995,0.0012
2459790.92591,0.9991,0.0012
2459790.92657,0.9984,0.0012
2459790.92723,0.9988,0.0012
2459790.9279,0.9976,0.0012
2459790.92856,1.002,0.0012
2459790.92923,0.9999,0.0012
