BJD_TDB,NormFlux,NormFluxError
2459674.8626,0.9969,0.0034
2459674.8634,0.996,0.0034
2459674.86406,1.003,0.0034
2459674.86472,1.0,0.0034
2459674.86538,0.9957,0.0033
2459674.86604,0.996,0.0034
2459674.8667,0.9924,0.0033
2459674.86736,1.008,0.0034
2459674.86802,1.0084,0.0034
2459674.86868,1.0,0.0034
2459674.86934,1.0073,0.0034
2459674.87,0.9908,0.0033
2459674.87066,0.996,0.0033
2459674.87132,1.0028,0.0033
2459674.87197,1.0007,0.0033
2459674.87263,0.9986,0.0033
2459674.87329,1.0026,0.0033
2459674.87395,1.0002,0.0033
2459674.87461,0.989,0.0034
2459674.87527,0.997,0.0033
2459674.87593,1.003,0.0033
2459674.87659,1.0015,0.0033
2459674.87791,1.002,0.0033
2459674.87857,0.9991,0.0033
2459674.87923,1.003,0.0033
2459674.87989,0.9961,0.0033
2459674.88055,0.9977,0.0033
2459674.88121,0.9891,0.0037
2459674.88187,1.0011,0.0033
2459674.88253,0.997,0.0032
2459674.88319,0.9977,0.0032
2459674.88385,1.0014,0.0032
2459674.88451,0.9989,0.0032
2459674.88517,0.9911,0.0032
2459674.88583,1.0027,0.0032
2459674.88649,1.0011,0.0032
2459674.88715,1.0016,0.0032
2459674.88781,0.9961,0.0032
2459674.88847,1.0002,0.0033
2459674.88913,0.9966,0.0032
2459674.88979,0.999,0.0032
2459674.89044,0.996,0.0032
2459674.8911,0.989,0.0034
2459674.89176,0.9908,0.0032
2459674.89242,1.0053,0.0032
2459674.89308,0.9908,0.0032
2459674.89374,0.9917,0.0032
2459674.8944,0.9945,0.0032
2459674.89506,0.9921,0.0032
2459674.89572,0.9892,0.0033
2459674.89638,0.9846,0.0033
2459674.89704,0.9967,0.0031
2459674.8977,0.9903,0.0032
2459674.89836,0.9836,0.0031
2459674.89902,0.9846,0.0031
2459674.89968,0.9813,0.0033
2459674.90034,0.9744,0.0032
2459674.901,0.9932,0.0031
2459674.90166,0.9834,0.0032
2459674.90232,0.9827,0.0032
2459674.90298,0.9819,0.0033
2459674.90364,0.9776,0.0033
2459674.9043,0.9894,0.0031
2459674.90496,0.9816,0.0031
2459674.90561,0.991,0.0031
2459674.90627,0.9759,0.0033
2459674.90693,0.9699,0.0033
2459674.90759,0.979,0.0033
2459674.90825,0.9775,0.0032
2459674.90891,0.9816,0.0031
