System,Orbit number,T_mid,Uncertainty (days),Time System,#,Reference
WASP-043,-2318.0,2455537.81659,0.000608,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2318.0,2455537.81687,0.00042,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2307.0,2455546.76487,0.00031,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2307.0,2455546.76502,0.000271,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2302.0,2455550.83227,0.0003,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2302.0,2455550.8323,0.000194,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2291.0,2455559.7803,0.000422,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2291.0,2455559.78035,0.0002,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2291.0,2455559.78042,0.000248,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2291.0,2455559.78086,0.00034,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2286.0,2455563.84771,0.00037,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2286.0,2455563.8472,0.000809,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2280.0,2455568.72879,0.000489,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2280.0,2455568.7284,0.00021,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2270.0,2455576.86405,0.000141,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2270.0,2455576.86382,0.00027,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2264.0,2455581.74409,0.00017,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2264.0,2455581.74418,0.000374,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2259.0,2455585.81116,0.000935,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2259.0,2455585.81204,0.0006,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2253.0,2455590.69253,0.000159,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2253.0,2455590.69261,0.0003,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2242.0,2455599.64049,0.000345,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2242.0,2455599.64053,0.00033,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2232.0,2455607.77469,0.000194,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2232.0,2455607.77519,0.00022,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2205.0,2455629.73997,0.00018,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2205.0,2455629.74008,0.000265,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2189.0,2455642.75453,0.0002,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2189.0,2455642.75458,0.000247,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2188.0,2455643.56897,0.000429,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2188.0,2455643.56892,0.00035,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2177.0,2455652.51586,0.00036,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2177.0,2455652.51543,0.000459,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2161.0,2455665.53287,0.001187,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2161.0,2455665.53204,0.00033,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2156.0,2455669.59932,0.000596,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2156.0,2455669.59921,0.00033,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2140.0,2455682.61585,0.00029,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2140.0,2455682.61592,0.000209,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2129.0,2455691.5638,0.000348,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2129.0,2455691.56382,0.00025,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2118.0,2455700.51226,0.000155,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-2118.0,2455700.51238,0.00027,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2086.0,2455726.54415,0.00027,BJD_TDB,1,2020AJ….159..150P; 2012A&A…542A...4G
WASP-043,-2086.0,2455726.54431,0.000283,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-1851.0,2455917.70909,0.00015,BJD_TDB,1,2020AJ….159..150P; 2014A&A…563A..41M
WASP-043,-1830.0,2455934.79244,0.00016,BJD_TDB,1,2020AJ….159..150P; 2014A&A…563A..40C
WASP-043,-1830.0,2455934.7927,0.00048,BJD_TDB,1,2020AJ….159..150P; 2014A&A…563A..40C
WASP-043,-1830.0,2455934.79225,0.00033,BJD_TDB,1,2020AJ….159..150P; 2014A&A…563A..40C
WASP-043,-1830.0,2455934.79216,0.00011,BJD_TDB,1,2020AJ….159..150P; 2014A&A…563A..40C
WASP-043,-1830.0,2455934.79214,0.00062,BJD_TDB,1,2020AJ….159..150P; 2014A&A…563A..40C
WASP-043,-1830.0,2455934.79224,0.00012,BJD_TDB,1,2020AJ….159..150P; 2014A&A…563A..40C
WASP-043,-1830.0,2455934.79197,0.00018,BJD_TDB,1,2020AJ….159..150P; 2014A&A…563A..40C
WASP-043,-1791.0,2455966.51756,0.00045,BJD_TDB,1,2020AJ….159..150P; 2014A&A…563A..41M
WASP-043,-1736.0,2456011.259,0.001,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151...17J
WASP-043,-1705.0,2456036.47674,0.00012,BJD_TDB,1,2020AJ….159..150P; 2014A&A…563A..41M
WASP-043,-1379.0,2456301.66875,8e-05,BJD_TDB,1,2020AJ….159..150P; 2014A&A…563A..41M
WASP-043,-1379.0,2456301.66919,0.00098,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-1297.0,2456368.37461,0.00087,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151...17J
WASP-043,-1011.0,2456601.02729,2e-05,BJD_TDB,1,2020AJ….159..150P; 2014AJ....147..161S
WASP-043,-1009.0,2456602.65444,2e-05,BJD_TDB,1,2020AJ….159..150P; 2014AJ....147..161S
WASP-043,-1008.0,2456603.46792,2e-05,BJD_TDB,1,2020AJ….159..150P; 2014AJ....147..161S
WASP-043,-1005.0,2456605.90822,2e-05,BJD_TDB,1,2020AJ….159..150P; 2014AJ....147..161S
WASP-043,-997.0,2456612.41604,3e-05,BJD_TDB,1,2020AJ….159..150P; 2014AJ....147..161S
WASP-043,-993.0,2456615.66978,1e-05,BJD_TDB,1,2020AJ….159..150P; 2014AJ....147..161S
WASP-043,-887.0,2456701.8986,0.00025,BJD_TDB,1,2020AJ….159..150P; 2015PASP..127..143R
WASP-043,-860.0,2456723.86516,0.0006,BJD_TDB,1,2020AJ….159..150P; 2015PASP..127..143R
WASP-043,-860.0,2456723.86378,0.0008,BJD_TDB,1,2020AJ….159..150P; 2015PASP..127..143R
WASP-043,-854.0,2456728.74251,0.00049,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151...17J
WASP-043,-849.0,2456732.80944,0.00069,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151...17J
WASP-043,-844.0,2456736.87711,0.00092,BJD_TDB,1,2020AJ….159..150P; 2015PASP..127..143R
WASP-043,-843.0,2456737.69115,0.00036,BJD_TDB,1,2020AJ….159..150P; 2015PASP..127..143R
WASP-043,-822.0,2456754.77381,0.00025,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151...17J
WASP-043,-793.0,2456778.36469,0.00035,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151..137H
WASP-043,-793.0,2456778.36467,0.00037,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151..137H
WASP-043,-783.0,2456786.49928,0.00045,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151..137H
WASP-043,-783.0,2456786.4999,0.00025,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151..137H
WASP-043,-779.0,2456789.75294,0.00059,BJD_TDB,1,2020AJ….159..150P; 2015PASP..127..143R
WASP-043,-778.0,2456790.56728,0.00051,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151..137H
WASP-043,-778.0,2456790.5668,0.00031,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151..137H
WASP-043,-724.0,2456834.49439,0.00049,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151..137H
WASP-043,-647.0,2456897.13195,7e-05,BJD_TDB,1,2020AJ….159..150P; 2017AJ….153...68S
WASP-043,-501.0,2457015.89832,0.00042,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151...17J
WASP-043,-495.0,2457020.77958,0.0004,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151..137H
WASP-043,-495.0,2457020.78023,0.00018,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151..137H
WASP-043,-485.0,2457028.91467,0.00037,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151...17J
WASP-043,-474.0,2457037.86187,0.00046,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151...17J
WASP-043,-469.0,2457041.92986,0.00032,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151...17J
WASP-043,-441.0,2457064.70746,0.00031,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151..137H
WASP-043,-441.0,2457064.7077,0.00018,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151..137H
WASP-043,-411.0,2457089.11181,7e-05,BJD_TDB,1,2020AJ….159..150P; 2017AJ….153...68S
WASP-043,-343.0,2457144.42829,0.00056,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151..137H
WASP-043,-188.0,2457270.51672,6e-05,BJD_TDB,1,2020AJ….159..150P; 2017AJ….153...68S
WASP-043,-32.0,2457397.4178,0.000742,BJD_TDB,1,2021ApJS..255...15W
WASP-043,-21.0,2457406.36778,0.000213,BJD_TDB,1,2021ApJS..255...15W
WASP-043,0.0,2457423.45037,0.00043,BJD_TDB,1,2020AJ….159..150P; 2016AJ….151..137H
WASP-043,12.0,2457433.21118,0.000327,BJD_TDB,1,2021ApJS..255...15W
WASP-043,12.0,2457433.21158,0.000976,BJD_TDB,1,2021ApJS..255...15W
WASP-043,66.0,2457477.13963,0.000527,BJD_TDB,1,2021ApJS..255...15W
WASP-043,365.0,2457720.36812,0.000713,BJD_TDB,1,2021ApJS..255...15W
WASP-043,482.0,2457815.54442,0.0003,BJD_TDB,1,2020AJ....159..150P
WASP-043,495.0,2457826.12162,0.000433,BJD_TDB,1,2021ApJS..255...15W
WASP-043,511.0,2457839.13461,0.000199,BJD_TDB,1,2021ApJS..255...15W
WASP-043,867.0,2458128.73203,8e-05,BJD_TDB,1,2021MNRAS.508.5514G
WASP-043,878.0,2458137.68028,0.00012,BJD_TDB,1,2021MNRAS.508.5514G
WASP-043,916.0,2458168.59212,6.8e-05,BJD_TDB,1,2021MNRAS.508.5514G
WASP-043,943.0,2458190.5556,0.00035,BJD_TDB,1,2020AJ....159..150P
WASP-043,970.0,2458212.51976,7e-05,BJD_TDB,1,2021MNRAS.508.5514G
WASP-043,1307.0,2458486.66059,6.4e-05,BJD_TDB,1,2021MNRAS.508.5514G
WASP-043,1377.0,2458543.60361,0.00034,BJD_TDB,1,2020AJ....159..150P
WASP-043,1379.0,2458545.23071,0.0002299,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1380.0,2458546.04414,0.0002528,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1381.0,2458546.85766,0.0002148,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1382.0,2458547.67093,0.000227,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1383.0,2458548.48451,0.000244,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1384.0,2458549.29773,0.0002312,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1384.0,2458549.29604,0.000409,BJD_TDB,1,2021AJ....162...18S
WASP-043,1385.0,2458550.11109,0.0002144,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1386.0,2458550.92455,0.0001982,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1387.0,2458551.73873,0.0002187,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1388.0,2458552.55164,0.0002155,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1389.0,2458553.36512,0.0002076,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1390.0,2458554.17861,0.000225,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1391.0,2458554.9923,0.0002369,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1395.0,2458558.24628,0.0001918,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1396.0,2458559.05952,0.0002257,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1397.0,2458559.873,0.0002275,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1398.0,2458560.68632,0.0002235,BJD_TDB,1,2022ApJS..259...62I
WASP-043,1399.0,2458561.49991,0.0002274,BJD_TDB,1,2022ApJS..259...62I
