System,Time(BJD_TDB),RV(m/s),σ(m/s),Citation
WASP-043,2455594.848273,-248.0,21.0,2012A&A...542A...4G
WASP-043,2455604.73039,-476.0,19.0,2012A&A...542A...4G
WASP-043,2455605.677373,-189.0,15.0,2012A&A...542A...4G
WASP-043,2455626.663879,-450.0,18.0,2012A&A...542A...4G
WASP-043,2455627.670365,-86.0,21.0,2012A&A...542A...4G
WASP-043,2455628.713064,614.0,18.0,2012A&A...542A...4G
WASP-043,2455629.686781,285.0,17.0,2012A&A...542A...4G
WASP-043,2455632.715791,547.0,22.0,2012A&A...542A...4G
WASP-043,2455205.76014,491.0,13.0,2011A&A...535L...7H
WASP-043,2455325.62394,-492.0,21.0,2011A&A...535L...7H
WASP-043,2455327.57524,119.0,26.0,2011A&A...535L...7H
WASP-043,2455328.54484,482.0,14.0,2011A&A...535L...7H
WASP-043,2455334.50374,-272.0,18.0,2011A&A...535L...7H
WASP-043,2455359.48314,523.0,22.0,2011A&A...535L...7H
WASP-043,2455362.53404,27.0,31.0,2011A&A...535L...7H
WASP-043,2455364.46034,287.0,17.0,2011A&A...535L...7H
WASP-043,2455375.47484,-281.0,18.0,2011A&A...535L...7H
WASP-043,2455376.49184,513.0,45.0,2011A&A...535L...7H
WASP-043,2455378.48444,-445.0,18.0,2011A&A...535L...7H
WASP-043,2455379.52534,-355.0,21.0,2011A&A...535L...7H
WASP-043,2455380.49114,267.0,21.0,2011A&A...535L...7H
WASP-043,2455391.46244,-320.0,28.0,2011A&A...535L...7H
WASP-043,2455392.46094,-537.0,21.0,2011A&A...535L...7H
WASP-043,2456363.415882,386.4,11.1,2017A&A...601A..53E
WASP-043,2456363.421396,345.5,12.0,2017A&A...601A..53E
WASP-043,2456363.426923,341.5,11.5,2017A&A...601A..53E
WASP-043,2456363.432437,332.2,9.6,2017A&A...601A..53E
WASP-043,2456363.437951,291.7,9.3,2017A&A...601A..53E
WASP-043,2456363.44346,278.0,9.1,2017A&A...601A..53E
WASP-043,2456363.448974,252.8,9.2,2017A&A...601A..53E
WASP-043,2456363.454484,222.7,9.3,2017A&A...601A..53E
WASP-043,2456363.459988,204.0,8.8,2017A&A...601A..53E
WASP-043,2456363.465502,207.4,9.5,2017A&A...601A..53E
WASP-043,2456363.471016,158.9,9.9,2017A&A...601A..53E
WASP-043,2456363.476525,172.4,9.6,2017A&A...601A..53E
WASP-043,2456363.482039,140.8,9.6,2017A&A...601A..53E
WASP-043,2456363.487549,108.3,9.4,2017A&A...601A..53E
WASP-043,2456363.493054,62.2,9.3,2017A&A...601A..53E
WASP-043,2456363.498567,37.9,10.2,2017A&A...601A..53E
WASP-043,2456363.504081,0.4,9.1,2017A&A...601A..53E
WASP-043,2456363.50959,-17.3,8.6,2017A&A...601A..53E
WASP-043,2456363.515104,-14.7,9.0,2017A&A...601A..53E
WASP-043,2456363.520614,-37.6,9.7,2017A&A...601A..53E
WASP-043,2456363.526123,-61.8,10.3,2017A&A...601A..53E
WASP-043,2456363.531624,-97.1,10.9,2017A&A...601A..53E
WASP-043,2456363.537128,-116.4,11.3,2017A&A...601A..53E
WASP-043,2456363.542642,-126.9,10.4,2017A&A...601A..53E
WASP-043,2456363.548156,-161.6,11.3,2017A&A...601A..53E
WASP-043,2456363.55367,-173.9,13.2,2017A&A...601A..53E
WASP-043,2456363.559179,-205.9,11.7,2017A&A...601A..53E
WASP-043,2456363.564693,-217.0,15.4,2017A&A...601A..53E
WASP-043,2456363.571207,-231.3,14.4,2017A&A...601A..53E
WASP-043,2456363.576712,-241.2,12.1,2017A&A...601A..53E
WASP-043,2456363.58223,-296.1,16.3,2017A&A...601A..53E
WASP-043,2456363.58774,-298.9,12.7,2017A&A...601A..53E
WASP-043,2456376.517002,16.6,5.8,2017A&A...601A..53E
WASP-043,2456377.589657,-464.7,8.8,2017A&A...601A..53E
WASP-043,2456381.558437,-433.3,8.8,2017A&A...601A..53E
WASP-043,2456381.563762,-453.0,8.9,2017A&A...601A..53E
WASP-043,2456382.512779,-291.3,5.2,2017A&A...601A..53E
WASP-043,2457050.557137,433.9,19.2,2017A&A...601A..53E
WASP-043,2457116.447829,414.2,4.5,2017A&A...601A..53E
WASP-043,2457145.424807,-466.7,15.4,2017A&A...601A..53E
