BJD_TDB,NormFlux,NormFluxError
2459671.99609,1.0157,0.0377
2459671.99699,1.0038,0.0355
2459671.99789,1.0,0.0353
2459671.9988,1.0272,0.0353
2459671.9997,1.0063,0.0346
2459672.0006,0.9396,0.0344
2459672.0015,1.0444,0.0342
2459672.00241,0.9472,0.0345
2459672.00331,0.9942,0.034
2459672.00421,0.9855,0.0342
2459672.00512,0.9941,0.0344
2459672.00602,0.9697,0.0349
2459672.00692,0.7011,0.0341
2459672.00782,0.4289,0.0346
2459672.00873,0.4735,0.0363
2459672.00963,0.5464,0.0364
2459672.01053,0.7722,0.0344
2459672.01143,0.9682,0.0346
2459672.01234,1.0293,0.035
2459672.01324,1.0156,0.0349
2459672.01414,1.058,0.0343
2459672.01504,0.9994,0.0372
