System,Orbit number,T_mid,Uncertainty (days),Time System,#,Reference
WD-1856+534,-4,2458773.74321663,0.0001,BJD_TDB,1,2020Natur.585..363V
WD-1856+534,-4,2458773.7433208,0.00019,BJD_TDB,1,2020Natur.585..363V
WD-1856+534,-4,2458773.74334395,0.00014,BJD_TDB,1,2020Natur.585..363V
WD-1856+534,-9,2458766.703572,0.00012,BJD_TDB,1,2020Natur.585..363V
WD-1856+534,-9,2458766.70380349,0.0001,BJD_TDB,1,2020Natur.585..363V
WD-1856+534,-9,2458766.70382663,0.0001,BJD_TDB,1,2020Natur.585..363V
WD-1856+534,0,2458779.375085,2e-06,BJD_TDB,1,2020Natur.585..363V
WD-1856+534,39,2458834.284788,4.7e-05,BJD_TDB,1,2020Natur.585..363V
WD-1856+534,94,2458911.721367,3e-06,BJD_TDB,1,2021A&A...649A.131A
WD-1856+534,143,2458980.710383,8e-06,BJD_TDB,1,2021A&A...649A.131A
WD-1856+534,148,2458987.749918,0.0001,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,150,2458990.565959,6e-06,BJD_TDB,1,2021A&A...649A.131A
WD-1856+534,165,2459011.68505697,6.9e-05,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,167,2459014.500916,7e-06,BJD_TDB,1,2021A&A...649A.131A
WD-1856+534,168,2459015.90885532,6.9e-05,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,168,2459015.90886837,2.1e-06,BJD_TDB,1,2021AJ....162..296X
WD-1856+534,170,2459018.72478262,6.9e-05,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,175,2459025.7644041,0.00014,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,180,2459032.80413679,2.2e-06,BJD_TDB,1,2021AJ....162..296X
WD-1856+534,197,2459056.7390488,8.1e-05,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,200,2459060.96292936,1.8e-06,BJD_TDB,1,2021AJ....162..296X
WD-1856+534,207,2459070.81837278,8.1e-05,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,214,2459080.673991,0.00012,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,217,2459084.89789415,2.4e-06,BJD_TDB,1,2021AJ....162..296X
WD-1856+534,219,2459087.71368193,0.00012,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,222,2459091.93759056,3.3e-06,BJD_TDB,1,2021AJ....162..296X
WD-1856+534,224,2459094.75323397,0.00016,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,224,2459094.7534865,8.7e-06,BJD_TDB,1,2021AJ....162..296X
WD-1856+534,229,2459101.79315997,1.8e-06,BJD_TDB,1,2021AJ....162..296X
WD-1856+534,234,2459108.83278943,9.3e-05,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,239,2459115.87255671,2.5e-06,BJD_TDB,1,2021AJ....162..296X
WD-1856+534,241,2459118.68845395,9.3e-05,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,243,2459121.504424,5.5e-05,BJD_TDB,1,2020RNAAS...4..245M
WD-1856+534,246,2459125.72797126,0.00016,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,246,2459125.72812932,2.5e-06,BJD_TDB,1,2021AJ....162..296X
WD-1856+534,251,2459132.7678821,0.00013,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,256,2459139.80752397,2.8e-06,BJD_TDB,1,2021AJ....162..296X
WD-1856+534,258,2459142.62339615,0.00013,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,268,2459156.70298634,0.00015,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,272,2459162.33456,3.1e-05,BJD_TDB,1,2020RNAAS...4..245M
WD-1856+534,273,2459163.74244578,0.0001,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,275,2459166.55830363,0.00015,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,280,2459173.59794826,0.00016,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,285,2459180.6377665,0.00015,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,302,2459204.57267399,0.00015,BJD_TDB,1,2023MNRAS.521.4679K
WD-1856+534,634,2459672.008594,6.5e-05,BJD_TDB,1,This Work
WD-1856+534,678,2459733.958105,8.4e-05,BJD_TDB,1,This Work
