BJD_TDB,NormFlux,NormFluxError
2459768.85001,1.0003,0.0018
2459768.85178,0.9984,0.0018
2459768.85356,0.9993,0.0018
2459768.85533,0.9982,0.0019
2459768.8571,1.0004,0.002
2459768.85888,0.9988,0.0022
2459768.86066,0.9997,0.0022
2459768.86243,0.9985,0.0022
2459768.86421,0.9994,0.0022
2459768.86598,1.0016,0.0021
2459768.86776,1.0026,0.0021
2459768.86954,1.0021,0.002
2459768.87131,1.0005,0.002
2459768.87309,1.0035,0.002
2459768.87486,1.002,0.0019
2459768.87664,1.0017,0.0018
2459768.87842,0.9943,0.0018
2459768.88019,0.9929,0.0017
2459768.88197,0.9861,0.0017
2459768.88375,0.984,0.0017
2459768.88553,0.9813,0.0017
2459768.88731,0.9777,0.0017
2459768.88908,0.9674,0.0017
2459768.89085,0.9717,0.0017
2459768.89263,0.969,0.0017
2459768.89441,0.9675,0.0017
2459768.89618,0.9674,0.0017
2459768.89796,0.9649,0.0017
2459768.89973,0.9674,0.0017
2459768.90151,0.9647,0.0017
2459768.90328,0.9593,0.0017
2459768.90506,0.9621,0.0017
2459768.90684,0.9653,0.0017
2459768.90861,0.9637,0.0017
2459768.91039,0.9648,0.0017
2459768.91216,0.9625,0.0017
2459768.91394,0.9608,0.0017
2459768.91572,0.9632,0.0017
2459768.91749,0.9655,0.0017
2459768.91927,0.9695,0.0017
2459768.92104,0.9678,0.0017
2459768.92282,0.9719,0.0017
2459768.92459,0.9705,0.0017
2459768.92637,0.9771,0.0017
2459768.92814,0.9835,0.0018
2459768.92991,0.9879,0.0018
2459768.93169,0.992,0.0018
2459768.93347,0.9962,0.0018
2459768.93524,0.9986,0.0018
2459768.93702,0.998,0.0018
2459768.93879,1.0059,0.0018
2459768.94057,1.0032,0.0018
2459768.94234,1.0013,0.0018
2459768.94412,1.0055,0.0018
2459768.9459,0.9985,0.0018
2459768.94767,1.0055,0.0018
2459768.94945,1.0043,0.0018
2459768.95123,1.0023,0.0019
2459768.953,1.0046,0.0019
2459768.95478,1.0003,0.0019
2459768.95655,1.0007,0.0019
2459768.95833,1.0008,0.0019
2459768.9601,1.0045,0.0019
2459768.96188,1.0027,0.0019
2459768.96366,1.0011,0.0019
2459768.96544,0.9956,0.0019
2459768.96722,0.9979,0.0019
2459768.96899,1.0006,0.0019
2459768.97077,0.994,0.0018
2459768.97255,0.9987,0.0019
